from,to,migration_count
apple,netapp,71
amazon,ge,9
kohls-department-stores,electronic-arts,2
bny-mellon,baker-hughes,3
motorolasolutions,iron-mountain,1
mckesson,hca,22
bristol-myers-squibb,eastman-chemical-company,3
ulta,kohls-department-stores,23
wellsfargo,republic-services-inc,11
eaton-corporation,snap-on-tools,6
discovery-communications,at&t,8
best-buy,gartner,5
hewlett-packard-enterprise,darden-restaurants,5
merck,american-airlines,3
w.w.-grainger,fmc-corporation,2
allstate,ford-motor-company,14
juniper-networks,abbott-,2
royal-caribbean,suntrust-bank,1
etrade,cisco,16
newmont-mining-corporation,cimarex-energy,2
metlife,waste-management,3
jefferies,bank-of-america,29
general-dynamics,medtronic,9
kla-tencor,abbott-,11
corning-incorporated,eaton-corporation,18
ecolab,the-clorox-company,6
progressive-insurance,h&r-block,5
boeing,ingersoll-rand,11
fifth-third-bank,fiserv,19
advance-auto-parts,red-hat,5
apple,viacom,25
raytheon,cadence-design-systems,11
procter-&-gamble,exxonmobil,113
bristol-myers-squibb,alcoa,4
fluor,texas-instruments,9
american-electric-power,ge,13
pepsico,caterpillar-inc,28
expeditors,lowe%27s-home-improvement,1
verizon,verisign,9
baxter-healthcare,the-coca-cola-company,19
general-motors,macy,18
agilent-technologies,amazon,8
cintas,merck,18
lam-research,charles-schwab,2
3m,hp,35
chevron,jpmorgan-chase,21
paypal,marriott-international,5
john-deere,morgan-stanley,3
suntrust-bank,progressive-insurance,7
comcast,thermo-fisher-scientific,3
corning-incorporated,applied-materials,5
te-connectivity,bd1,13
ibm,jacobs,22
expedia,at&t,36
under-armour,zimmerbiomet,1
willis-towers-watson,robert-half-international,5
ge,equifax,13
pfizer,akamai-technologies,4
rockwell-automation,sealed-air-corporation,3
expedia,priceline-com,3
oracle,nasdaq-omx,11
3m,unionpacific,2
borgwarner,united-technologies,2
morgan-stanley,devon-energy,1
msci-inc,willis-towers-watson,6
activision,sempra-energy,1
kinder-morgan,3m,2
mohawk-industries,genuine-parts-company,3
tripadvisor,jefferies,2
nvidia,agilent-technologies,4
ups,lkq-corporation,2
accenture,cintas,3
intel-corporation,msci-inc,3
cintas,idexx-laboratories,7
jacobs,royal-caribbean,1
ppg-industries,verizon,3
assurant,at&t,8
intel-corporation,eaton-corporation,24
tyson-foods,merck,2
kla-tencor,te-connectivity,5
eaton-corporation,bd1,18
western-digital,mondelezinternational,1
boeing,whirlpool-corporation,5
principal-financial-group,regions-financial-corporation,5
the-coca-cola-company,avery-dennison,6
unitedhealth-group,ebay,8
ulta,dollar-tree-stores,7
cimarex-energy,concho-resources,3
nextera-energy-resources,idexx-laboratories,1
starbucks,biogen-,6
illumina,intuit,4
bank-of-america,church-&-dwight-co-inc,3
air-products,cardinal-health,1
john-deere,bd1,3
progressive-insurance,marriott-international,5
fiserv,limited-brands,2
newellbrands,john-deere,3
suntrust-bank,fluor,2
fedex,the-j-m--smucker-company,3
discovery-communications,the-kraft-heinz-company,1
fis,ameriprise-financial-services-inc,7
anthem,uhs,1
danaher,united-technologies,11
intel-corporation,expedia,11
stryker,motorolasolutions,4
hologic,fastenal,1
qualcomm,caterpillar-inc,4
twitter,electronic-arts,3
southwest-airlines,fedex,9
the-home-depot,amerisourcebergen,5
michael-kors,pvh,22
insidepmi,best-buy,4
at&t,kansas-city-southern-railway,1
msci-inc,aon,1
bb&t,unitedhealth-group,7
intel-corporation,ingersoll-rand,12
dollar-tree-stores,ross-stores,24
lkq-corporation,nielsen,1
jpmorgan-chase,pvh,7
macy,oracle,22
church-&-dwight-co-inc,target,4
royal-caribbean,chevron,2
american-water,dow-chemical,1
devon-energy,the-walt-disney-company,1
western-union,delta-air-lines,1
goldman-sachs,pnc-bank,17
kohls-department-stores,morgan-stanley,2
united-airlines,cbre,4
jefferies,charles-schwab,4
marathon-petroleum-company,hess-corporation,7
perkinelmer,pepsico,4
newellbrands,verizon,1
ge,uhs,1
hilton-worldwide,mgm-resorts-international,7
bristol-myers-squibb,general-motors,5
wec-energy-group,kimberly-clark,3
corning-incorporated,weyerhaeuser,3
john-deere,cisco,8
marsh-&-mclennan-companies-inc-,procter-&-gamble,4
ameren,google,1
msci-inc,ibm,9
cintas,citi,14
macerich,public-storage,1
verizon,goldman-sachs,31
adm,sherwin-williams,1
jefferies,boeing,2
lam-research,intuit,3
martin-marietta-materials,fedex,2
dish-network,morgan-stanley,4
newmont-mining-corporation,nike,5
honeywell,limited-brands,3
national-oilwell-varco,3m,3
o%27reilly-auto-parts,medtronic,1
adm,baxter-healthcare,1
caterpillar-inc,colgate-palmolive,2
the-coca-cola-company,fluor,3
unum,blackrock,1
hp,costco-wholesale,4
davita,cardinal-health,2
ups,edwards-lifesciences,3
fedex,qualcomm,3
thermo-fisher-scientific,borgwarner,5
ford-motor-company,gartner,3
general-motors,danaher,10
celanese,johnson-&-johnson,6
metlife,jacobs,2
the-coca-cola-company,labcorp,3
nrg-energy,medtronic,5
gap-inc-,paychex,5
the-kraft-heinz-company,adm,6
google,lockheed-martin,12
medtronic,rockwell-automation,8
conocophillips,sempra-energy,1
paypal,johnson-controls,2
martin-marietta-materials,oneok,1
campbell-soup-company,dollar-general,1
verizon,eversourceenergy,2
pfizer,adm,10
allergan,newellbrands,3
pfizer,f5-networks,1
general-motors,entergy,3
intel-corporation,carmax,1
adp,ralph-lauren,2
discovery-communications,cognizant,6
xcel-energy,expedia,1
electronic-arts,fiserv,2
johnson-&-johnson,general-dynamics,3
amerisourcebergen,bristol-myers-squibb,2
mgm-resorts-international,eaton-corporation,1
dish-network,carmax,2
edison-international,sempra-energy,2
comerica-bank,emerson,1
duke-energy-corporation,john-deere,3
oxy,copart,1
centurylink,arthur-j--gallagher-and-co,1
kinder-morgan,ppg-industries,1
insidepmi,advance-auto-parts,1
lowe%27s-home-improvement,expedia,2
ralph-lauren,capital-one,2
walmart,hess-corporation,7
ge,celgene,2
perkinelmer,symantec,1
kroger,aig,4
kimberly-clark,nektar-therapeutics,1
hasbro,mosaiccompany,1
applied-materials,target,7
pvh,the-coca-cola-company,1
apple,dollar-general,3
cummins-inc,altria,3
hess-corporation,flir-systems,1
nielsen,comcast,4
carmax,eog-resources,1
people%27s-united-bank,nordstrom,1
avalonbay-communities,nordstrom,1
fifth-third-bank,kohls-department-stores,5
norfolk-southern,cbs-com,1
johnson-&-johnson,equifax,2
allstate,cummins-inc,3
at&t,dominion,5
unionpacific,ebay,1
johnson-&-johnson,pvh,8
everest-reinsurance,aon,2
aon,tjx,1
johnson-&-johnson,marathon-petroleum-company,2
honeywell,henry-schein,2
aig,verisk-analytics,6
american-tower,american-express,1
intel-corporation,idexx-laboratories,4
marriott-international,biogen-,3
ross-stores,general-dynamics,2
harris-corporation,state-street,3
robert-half-international,expedia,3
northrop-grumman-corporation,colgate-palmolive,3
fiserv,cbre,2
mylan,cardinal-health,3
paypal,exxonmobil,2
american-water,morgan-stanley,1
alaska-airlines,halliburton,1
raytheon,fiserv,6
borgwarner,nielsen,1
celanese,the-linde-group,5
pentair,ball,1
amerisourcebergen,microchip-technology,1
moodys-corporation,newscorp,1
state-street,eversourceenergy,4
fastenal,cbre,3
dr-horton,baker-hughes,1
consumers-energy,sysco,1
tyson-foods,jpmorgan-chase,1
stanley-black-decker-inc,the-clorox-company,2
starbucks,freeport-mcmoran-inc,3
stryker,ebay,1
citrix,expedia,4
air-products,oneok,1
itw,keybank,1
bristol-myers-squibb,phillips66co,1
adp,atmos-energy,1
jpmorgan-chase,xcel-energy,2
the-coca-cola-company,illumina,1
hca,medtronic,6
huntington-national-bank,fis,2
visa,the-hershey-company,1
lincoln-financial-group,southern-company,1
fis,mattel,1
equity-residential,amazon,1
moodys-corporation,cbs-com,1
mccormick,mcdonald%27s-corporation,2
fis,phillips66co,2
f5-networks,verisign,1
kohls-department-stores,mattel,3
kla-tencor,amazon,5
church-&-dwight-co-inc,mosaiccompany,2
regions-financial-corporation,stryker,1
costco-wholesale,amerisourcebergen,2
kinder-morgan,ulta,1
cadence-design-systems,labcorp,1
parker-hannifin,constellation-brands,1
stanley-black-decker-inc,the-coca-cola-company,5
noble-energy,baxter-healthcare,1
state-street,tiffany-and-co,2
amgen,hasbro,1
newscorp,spglobal,1
applied-materials,fedex,2
medtronic,united-airlines,3
goldman-sachs,con-edison,4
crown-castle,apple,1
robert-half-international,hess-corporation,1
dish-network,lyondell-basell,1
tyson-foods,monster-energy_2,1
unitedhealth-group,vf-corporation,1
dish-network,metlife,5
texas-instruments,martin-marietta-materials,2
wynn-las-vegas,cbre,1
aimco,cognizant,1
metlife,united-technologies,1
kimberly-clark,pvh,1
johnson-&-johnson,tripadvisor,1
citizens-bank,fleetcor,1
hca,prudential-financial,1
abbvie,jpmorgan-chase,2
the-hershey-company,conocophillips,1
ralph-lauren,cisco,1
kellogg-company,ipg,2
flowserve,corning-incorporated,1
brown-forman,international-paper,1
western-digital,ansys-inc,1
lockheed-martin,equity-residential,1
danaher,blackrock,2
google,royal-caribbean,1
adm,united-airlines,1
hca,baker-hughes,2
textron,general-mills,1
cbre,macy,5
wec-energy-group,ford-motor-company,1
vulcan-materials-company,agilent-technologies,2
metlife,general-dynamics,1
henry-schein,allstate,1
dr-horton,paychex,1
carmax,general-mills,1
marriott-international,ppg-industries,1
baxter-healthcare,ametek,1
idexx-laboratories,ingersoll-rand,1
amgen,wynn-las-vegas,2
electronic-arts,kla-tencor,1
nisource,centerpoint-energy,1
the-kraft-heinz-company,davita,1
raytheon,c-h-robinson,1
nisource,vf-corporation,1
travelers,apache-corporation,1
kohls-department-stores,eli-lilly-and-company,2
simon-property-group,red-hat,1
xerox,campbell-soup-company,2
abbvie,limited-brands,1
edwards-lifesciences,schlumberger,1
united-airlines,cadence-design-systems,1
hess-corporation,cigna,1
caterpillar-inc,nvidia,1
stryker,american-airlines,1
general-dynamics,hanesbrands-inc-,1
ppg-industries,iff,1
tyson-foods,exxonmobil,1
perrigo,broadcom,1
american-water,eli-lilly-and-company,1
hca,broadridge-financial-solutions,1
us-bank,limited-brands,2
ecolab,ameren,1
leggett-&-platt,ge,1
cbre,varian-medical-systems,1
ge,ameren,1
metlife,consumers-energy,1
ims-health,aon,1
marathon-oil-corporation,american-airlines,1
prudential-financial,the-hershey-company,1
texas-instruments,cboe,1
halliburton,cadence-design-systems,1
tjx,eversourceenergy,1
iron-mountain,tiffany-and-co,1
oracle,ibm,3054
the-coca-cola-company,pepsico,441
jpmorgan-chase,ibm,601
te-connectivity,johnson-&-johnson,12
citrix,symantec,46
johnson-&-johnson,ge,118
harley-davidson-motor-company,microsoft,3
xerox,intel-corporation,121
marathon-oil-corporation,ibm,19
at&t,norfolk-southern,31
micron-technology,hewlett-packard-enterprise,127
aflac,american-airlines,9
ge,pepsico,123
eli-lilly-and-company,target,22
united-technologies,apple,3
merck,accenture,184
stryker,lockheed-martin,8
ford-motor-company,boeing,138
the-home-depot,visa,6
apple,starbucks,129
discover-financial-services,charles-schwab,21
ibm,sealed-air-corporation,19
salesforce,adobe,68
southern-company,the-coca-cola-company,13
best-buy,prudential-financial,21
celanese,stanley-black-decker-inc,1
foot-locker,lowe%27s-home-improvement,15
medtronic,3m,108
adp,charles-schwab,15
national-oilwell-varco,hewlett-packard-enterprise,24
raytheon,eaton-corporation,27
lockheed-martin,oracle,136
ulta,target,37
hewlett-packard-enterprise,norfolk-southern,6
hilton-worldwide,american-express,23
exxonmobil,google,15
ups,republic-services-inc,25
ppg-industries,cummins-inc,6
merck,ibm,86
ge,citrix,6
willis-towers-watson,te-connectivity,5
visa,charles-schwab,66
united-technologies,applied-materials,3
the-kraft-heinz-company,the-hershey-company,12
varian-medical-systems,rockwell-automation,2
devon-energy,chevron,47
kellogg-company,zoetis,10
mylan,amgen,24
mcdonald%27s-corporation,electronic-arts,5
jacobs,kellogg-company,23
ford-motor-company,medtronic,14
american-express,visa,212
pepsico,fedex,24
abbvie,mckesson,4
morgan-stanley,amd,4
coty,church-&-dwight-co-inc,8
walgreens,pfizer,47
abbott-,whirlpool-corporation,11
boeing,visa,9
rockwell-automation,corning-incorporated,7
duke-energy-corporation,dish-network,1
te-connectivity,northrop-grumman-corporation,6
adp,citrix,14
nordstrom,people%27s-united-bank,3
citi,general-motors,54
northrop-grumman-corporation,caterpillar-inc,10
verizon,hp,19
zimmerbiomet,microsoft,9
morgan-stanley,netapp,5
phillips66co,ppg-industries,1
walmart,t--rowe-price,3
viacom,at&t,27
entergy,xcel-energy,21
the-walt-disney-company,cisco,20
honeywell,thermo-fisher-scientific,42
john-deere,johnson-controls,27
discovery-communications,cisco,2
johnson-&-johnson,ross-stores,3
target,albemarle,2
johnson-controls,gartner,1
chubb,prudential-financial,6
baker-hughes,ecolab,13
expedia,facebook,35
3m,chipotle-mexican-grill,1
aflac,paychex,21
boeing,schlumberger,31
at&t,w.w.-grainger,78
fedex,fastenal,6
pfizer,ipg,10
duke-energy-corporation,johnson-controls,5
nvidia,the-estee-lauder-companies-inc-,1
nielsen,capital-one,10
rockwell-automation,ingersoll-rand,14
huntington-national-bank,ameriprise-financial-services-inc,9
ups,marathon-petroleum-company,6
the-coca-cola-company,fmc-corporation,2
abbott-,hologic,24
abbott-,stanley-black-decker-inc,5
cardinal-health,dow-chemical,3
best-buy,activision,22
teleflex,thermo-fisher-scientific,6
citi,mattel,2
the-clorox-company,bank-of-america,7
apple,tjx,5
campbell-soup-company,morgan-stanley,3
apple,mondelezinternational,8
nordstrom,travelers,5
walmart,discover-financial-services,26
target,chubb,2
seagate-technology,john-deere,2
franklin-templeton-investments,gap-inc-,11
nielsen,ipg,4
wellsfargo,honeywell,26
hanesbrands-inc-,nielsen,4
international-paper,autozone,11
merck,vertex-pharmaceuticals,67
texas-instruments,cerner-corporation,3
walgreens,fortinet,1
hasbro,target,15
bank-of-america,moodys-corporation,22
abbvie,halliburton,2
noble-energy,halliburton,6
willis-towers-watson,visa,5
nasdaq-omx,johnson-&-johnson,2
fortinet,f5-networks,11
gartner,merck,2
kohls-department-stores,seagate-technology,2
unitedhealth-group,pentair,6
nisource,sempra-energy,3
nike,abbvie,3
nasdaq-omx,jpmorgan-chase,20
american-airlines,eversourceenergy,4
kohls-department-stores,adp,17
davita,apple,3
advance-auto-parts,carmax,20
nvidia,red-hat,5
juniper-networks,qualcomm,24
invesco-ltd,amazon,2
fifth-third-bank,the-j-m--smucker-company,1
lockheed-martin,caterpillar-inc,29
procter-&-gamble,robert-half-international,10
cummins-inc,cognizant,24
bny-mellon,at&t,22
adp,edwards-lifesciences,5
charles-schwab,cme-group,2
pfizer,exxonmobil,29
lkq-corporation,mcdonald%27s-corporation,1
united-technologies,rockwell-automation,6
lowe%27s-home-improvement,kansas-city-southern-railway,3
the-coca-cola-company,discovery-communications,3
assurant,charles-schwab,2
take-2-interactive-software-inc-,the-walt-disney-company,2
church-&-dwight-co-inc,citi,2
netapp,goldman-sachs,12
gap-inc-,bny-mellon,4
netflix,dominion,1
mckesson,pfizer,8
copart,facebook,1
ibm,huntington-national-bank,15
adm,american-express,5
fedex,exxonmobil,8
amd,intuit,7
leggett-&-platt,mckesson,2
te-connectivity,air-products,3
adm,mcdonald%27s-corporation,3
cognizant,first-republic-bank,5
bristol-myers-squibb,allstate,3
waste-management,centerpoint-energy,2
hilton-worldwide,michael-kors,3
vf-corporation,cvs-health,2
ingersoll-rand,sealed-air-corporation,5
lockheed-martin,chevron,30
norfolk-southern,textron,1
john-deere,travelers,2
henry-schein,stryker,3
kroger,colgate-palmolive,1
centurylink,bank-of-america,16
marriott-international,unitedhealth-group,17
abbott-,bny-mellon,4
davita,labcorp,2
air-products,eastman-chemical-company,6
tiffany-and-co,charles-schwab,1
intuit,johnson-&-johnson,2
discover-financial-services,gap-inc-,3
conocophillips,dr-horton,1
willis-towers-watson,ecolab,2
jpmorgan-chase,gartner,12
t--rowe-price,the-hartford,2
adp,sempra-energy,2
expeditors,willis-towers-watson,1
cognizant,stanley-black-decker-inc,1
spglobal,h&r-block,2
autodesk,the-cincinnati-insurance-companies,1
ppg-industries,travelers,1
adobe,pseg,2
alliance-data,fifth-third-bank,6
microsoft,lincoln-financial-group,3
chevron,colgate-palmolive,6
flowserve,hewlett-packard-enterprise,4
corning-incorporated,ross-stores,1
davita,accenture,8
boeing,northern-trust,3
firstenergy-corp,fedex,1
dte-energy,lowe%27s-home-improvement,1
fox-filmed-entertainment,hewlett-packard-enterprise,3
amazon,cvs-health,13
american-electric-power,johnson-controls,2
aig,vf-corporation,1
ecolab,marriott-international,4
walgreens,unionpacific,8
abbott-,campbell-soup-company,10
southern-company,raytheon,1
dish-network,dollar-general,5
mckesson,altria,4
masco-corporation,ups,2
snap-on-tools,aflac,3
cme-group,hewlett-packard-enterprise,3
equifax,cerner-corporation,1
texas-instruments,baker-hughes,15
morgan-stanley,colgate-palmolive,6
amazon,amd,6
eaton-corporation,celanese,3
colgate-palmolive,salesforce,1
perkinelmer,the-estee-lauder-companies-inc-,2
f5-networks,starbucks,8
kimberly-clark,goldman-sachs,6
ebay,american-airlines,2
pseg,bank-of-america,5
capital-one,aimco,4
conocophillips,lam-research,1
textron,metlife,3
duke-energy-corporation,eastman-chemical-company,4
the-kraft-heinz-company,marsh-&-mclennan-companies-inc-,1
lincoln-financial-group,ge,2
bb&t,international-paper,2
the-hershey-company,pca,1
broadridge-financial-solutions,ralph-lauren,2
viacom,thermo-fisher-scientific,1
cintas,ecolab,12
chevron,constellation-brands,1
expeditors,allstate,1
walgreens,unum,1
robert-half-international,ameriprise-financial-services-inc,13
pentair,bd1,3
maxim-integrated,the-home-depot,3
progressive-insurance,northern-trust,1
accenture,sealed-air-corporation,2
american-airlines,allstate,9
boeing,electronic-arts,6
nordstrom,yum-brands,1
hess-corporation,simon-property-group,1
foot-locker,microsoft,6
mccormick,newellbrands,3
caterpillar-inc,mosaiccompany,1
mosaiccompany,caterpillar-inc,2
dow-chemical,newellbrands,4
concho-resources,eog-resources,2
conocophillips,hca,2
kinder-morgan,southern-company,10
cognizant,lyondell-basell,3
fedex,hess-corporation,1
tractor-supply-company,vf-corporation,2
the-coca-cola-company,amgen,7
broadcom,paypal,2
mid-america-apartment-communities,allstate,1
newellbrands,adm,1
maxim-integrated,kla-tencor,7
h&r-block,csx-transportation,1
verisign,gap-inc-,1
ameriprise-financial-services-inc,honeywell,2
discovery-communications,michael-kors,1
sysco,charles-schwab,1
kroger,torchmark-corporation,1
autodesk,boston-scientific,1
blackrock,nielsen,1
macy,equity-residential,2
charles-schwab,jb-hunt-transport-services-inc,1
alaska-airlines,aflac,2
fedex,entergy,2
apple,mgm-resorts-international,5
the-cincinnati-insurance-companies,brown-forman,1
lincoln-financial-group,qorvo,2
illumina,oracle,2
conocophillips,stanley-black-decker-inc,2
fmc-corporation,procter-&-gamble,4
progressive-insurance,walgreens,5
pvh,suntrust-bank,1
itw,allstate,3
tyson-foods,lyondell-basell,1
google,vertex-pharmaceuticals,2
fmc-corporation,apple,4
the-home-depot,extra-space-storage,3
hp,pseg,2
synchrony-financial,microsoft,1
oracle,kroger,1
dentsplysirona,ge,4
ulta,keybank,3
global-payments,fifth-third-bank,2
target,coty,5
tractor-supply-company,h&r-block,1
dte-energy,centurylink,1
te-connectivity,iff,2
the-clorox-company,the-j-m--smucker-company,3
waters,procter-&-gamble,3
ecolab,thermo-fisher-scientific,9
adp,the-linde-group,2
colgate-palmolive,gilead-sciences,1
the-estee-lauder-companies-inc-,rockwell-automation,3
eli-lilly-and-company,schlumberger,3
principal-financial-group,apple,1
dollar-tree-stores,michael-kors,1
henry-schein,eaton-corporation,1
brown-forman,ups,2
abiomed,raytheon,1
aig,nike,3
devon-energy,mckesson,2
citizens-bank,raymond-james-financial-inc-,3
dow-chemical,national-oilwell-varco,1
symantec,marsh-&-mclennan-companies-inc-,3
best-buy,ameren,1
fiserv,mcdonald%27s-corporation,2
lockheed-martin,northern-trust,1
fluor,bb&t,2
exxonmobil,avery-dennison,4
suntrust-bank,salesforce,3
equifax,wellcare,1
sherwin-williams,texas-instruments,2
incyte,merck,5
people%27s-united-bank,centurylink,1
marsh-&-mclennan-companies-inc-,red-hat,1
starbucks,amgen,8
nextera-energy-resources,delta-air-lines,1
johnson-&-johnson,assurant,1
allegion-us,netapp,1
martin-marietta-materials,dr-horton,1
merck,consumers-energy,1
aes,chevron,3
corning-incorporated,united-rentals,1
davita,fmc-corporation,2
autodesk,martin-marietta-materials,2
michael-kors,hewlett-packard-enterprise,2
ihs,citi,4
capital-one,eli-lilly-and-company,4
broadcom,wellsfargo,3
delta-air-lines,intercontinentalexchange-inc-,2
nrg-energy,national-oilwell-varco,2
tiffany-and-co,ross-stores,1
caterpillar-inc,royal-caribbean,3
fleetcor,bank-of-america,2
bristol-myers-squibb,celanese,1
amazon,xilinx,1
unionpacific,exxonmobil,2
united-technologies,kimberly-clark,2
microsoft,devon-energy,2
american-airlines,fastenal,1
insidepmi,the-walt-disney-company,5
ingersoll-rand,mcdonald%27s-corporation,1
stryker,coty,2
boston-scientific,the-estee-lauder-companies-inc-,2
gilead-sciences,labcorp,1
norwegian-cruise-line,ge,2
goldman-sachs,john-deere,1
w.w.-grainger,dollar-general,2
c-h-robinson,american-express,2
dish-network,garmin-international,1
equinix,akamai-technologies,3
international-paper,raymond-james-financial-inc-,2
fedex,anadarko-petroleum-corporation,1
cadence-design-systems,schlumberger,1
southern-company,micron-technology,1
baxter-healthcare,texas-instruments,3
paccar,johnson-&-johnson,2
textron,ametek,2
boston-scientific,international-paper,2
united-rentals,carmax,1
aig,newellbrands,1
cadence-design-systems,equifax,1
paccar,cardinal-health,1
fox-filmed-entertainment,seagate-technology,1
john-deere,keybank,1
dish-network,applied-materials,1
mccormick,best-buy,1
conocophillips,allstate,1
fifth-third-bank,abbvie,1
corning-incorporated,pnc-bank,1
autozone,kinder-morgan,1
jb-hunt-transport-services-inc,halliburton,2
texas-instruments,walgreens,2
bny-mellon,bristol-myers-squibb,2
nielsen,united-technologies,1
cbre,ingersoll-rand,2
ameriprise-financial-services-inc,thermo-fisher-scientific,2
svb-financial-group,cognizant,1
electronic-arts,dish-network,1
lockheed-martin,resmed,1
northrop-grumman-corporation,international-paper,2
harris-corporation,xilinx,1
royal-caribbean,rockwell-automation,1
allstate,aes,1
metlife,under-armour,1
ansys-inc,broadcom,1
schlumberger,paccar,1
parker-hannifin,tsys,1
johnson-controls,state-street,1
textron,kroger,1
comerica-bank,edwards-lifesciences,1
mondelezinternational,charles-schwab,1
ford-motor-company,paychex,1
molson-coors,national-oilwell-varco,1
baxter-healthcare,maxim-integrated,1
corning-incorporated,cvs-health,1
nielsen,t--rowe-price,1
visa,whirlpool-corporation,2
sempra-energy,adp,1
jpmorgan-chase,fmc-corporation,1
broadcom,aig,1
northern-trust,duke-energy-corporation,1
ecolab,cvs-health,1
pentair,cognizant,1
te-connectivity,incyte,1
gartner,expedia,1
abbott-,baxter-healthcare,566
northern-trust,cognizant,33
apple,seagate-technology,34
bank-of-america,charles-schwab,301
morgan-stanley,united-technologies,4
emerson,honeywell,53
abbott-,intuitive-surgical,45
united-technologies,boston-scientific,6
newellbrands,nielsen,11
ups,pepsico,139
symantec,citi,39
ibm,ebay,178
3m,te-connectivity,27
southwest-airlines,hewlett-packard-enterprise,26
baker-hughes,anadarko-petroleum-corporation,38
cognizant,keybank,29
etrade,intel-corporation,4
bny-mellon,goldman-sachs,177
eaton-corporation,progressive-insurance,20
cvs-health,tjx,48
delta-air-lines,equifax,10
aon,ingersoll-rand,1
ge,kla-tencor,16
paccar,amazon,33
schlumberger,jacobs,20
citi,western-union,73
walmart,firstenergy-corp,4
aimco,duke-realty-corporation,6
raytheon,general-dynamics,73
chubb,cigna,32
google,align-technology,6
dollar-tree-stores,at&t,14
kellogg-company,campbell-soup-company,36
ecolab,best-buy,20
morgan-stanley,mattel,3
marathon-petroleum-company,general-motors,8
advance-auto-parts,metlife,3
zoetis,bristol-myers-squibb,7
american-express,amazon,129
netapp,symantec,110
oxy,marathon-oil-corporation,29
citi,danaher,5
intel-corporation,microchip-technology,99
microsoft,general-motors,36
lockheed-martin,marathon-oil-corporation,6
expedia,nike,4
capital-one,state-street,15
at&t,bd1,18
intel-corporation,sealed-air-corporation,4
verisk-analytics,american-express,3
flir-systems,nike,6
the-hershey-company,the-walt-disney-company,5
rockwell-automation,baxter-healthcare,18
equinix,ge,3
ihs,western-union,1
amazon,macy,76
boston-scientific,seagate-technology,14
aon,cvs-health,12
willis-towers-watson,conocophillips,6
skyworks-solutions-inc,texas-instruments,20
advance-auto-parts,iron-mountain,1
eaton-corporation,apple,13
oracle,national-oilwell-varco,4
cbre,state-street,9
general-motors,bd1,13
merck,jpmorgan-chase,51
metlife,synchrony-financial,8
aflac,lockheed-martin,8
progressive-insurance,intuit,8
kohls-department-stores,boeing,8
autozone,accenture,4
the-walt-disney-company,abbott-,8
amd,harris-corporation,7
pfizer,the-hershey-company,20
cbre,pnc-bank,7
xerox,zimmerbiomet,13
firstenergy-corp,international-paper,2
ups,bny-mellon,30
bristol-myers-squibb,ge,22
chevron,southwest-airlines,4
citi,viacom,22
electronic-arts,hp,12
centerpoint-energy,nike,2
bank-of-america,centurylink,11
the-home-depot,huntington-national-bank,8
c-h-robinson,oracle,12
dollar-tree-stores,pvh,3
coty,state-street,1
keybank,rockwell-automation,7
gilead-sciences,visa,10
fedex,cintas,6
eli-lilly-and-company,expeditors,1
paypal,electronic-arts,10
tjx,boeing,3
ecolab,zimmerbiomet,9
the-home-depot,con-edison,8
amgen,agilent-technologies,35
electronic-arts,netapp,10
morgan-stanley,unum,8
unitedhealth-group,verizon,21
texas-instruments,netapp,9
the-kraft-heinz-company,coty,4
apple,discovery-communications,21
michael-kors,american-airlines,3
delta-air-lines,suntrust-bank,51
comcast,symantec,6
marsh-&-mclennan-companies-inc-,southwest-airlines,1
willis-towers-watson,the-hartford,29
boston-scientific,keybank,2
ihs,halliburton,17
lam-research,wellsfargo,5
aimco,southwest-airlines,1
honeywell,johnson-&-johnson,39
fedex,oracle,23
cisco,the-hartford,6
gap-inc-,pepsico,20
walmart,chevron,18
the-kraft-heinz-company,the-estee-lauder-companies-inc-,10
etrade,cognizant,22
cummins-inc,aflac,1
cvs-health,jacobs,4
under-armour,adp,4
johnson-&-johnson,exelon,3
iron-mountain,aig,4
procter-&-gamble,gilead-sciences,9
eli-lilly-and-company,ebay,6
comcast,qualcomm,2
wellsfargo,hilton-worldwide,19
tiffany-and-co,cbre,1
johnson-controls,mcdonald%27s-corporation,6
jpmorgan-chase,williams-company,8
accenture,centerpoint-energy,9
ecolab,walmart,10
equifax,invesco-ltd,1
microsoft,agilent-technologies,19
hewlett-packard-enterprise,activision,8
mattel,the-clorox-company,8
c-h-robinson,norwegian-cruise-line,1
microsoft,discovery-communications,6
capital-one,starbucks,12
accenture,phillips66co,6
consumers-energy,marathon-petroleum-company,2
honeywell,nike,11
hess-corporation,devon-energy,10
mcdonald%27s-corporation,public-storage,9
boeing,republic-services-inc,5
kinder-morgan,accenture,2
cardinal-health,ge,10
blackrock,cigna,6
boeing,fedex,22
accenture,itw,4
exelon,nextera-energy-resources,4
suntrust-bank,international-paper,4
cummins-inc,stanley-black-decker-inc,8
thermo-fisher-scientific,hca,3
verisign,comcast,4
humana,kimberly-clark,7
humana,delta-air-lines,3
alliance-data,macy,3
general-dynamics,hollyfrontier-corporation,2
davita,johnson-&-johnson,3
aon,the-kraft-heinz-company,2
spglobal,verizon,3
3m,bank-of-america,16
keybank,parker-hannifin,9
northrop-grumman-corporation,boston-scientific,8
yum-brands,best-buy,13
the-walt-disney-company,regions-financial-corporation,2
charles-schwab,aon,3
nike,fifth-third-bank,6
us-bank,gilead-sciences,1
suntrust-bank,iron-mountain,2
mastercard,regions-financial-corporation,2
