from,to,migration_count
lyondell-basell,unionpacific,1
cisco,ppg-industries,1
aimco,dish-network,2
bd1,alexion-pharmaceuticals,2
nike,activision,2
jb-hunt-transport-services-inc,o%27reilly-auto-parts,2
regency-centers,kroger,1
cognizant,united-airlines,2
merck,assurant,1
thermo-fisher-scientific,ipg-photonics,1
davita,weyerhaeuser,3
starbucks,intercontinentalexchange-inc-,1
h&r-block,broadcom,1
yum-brands,duke-energy-corporation,3
travelers,equifax,1
northrop-grumman-corporation,the-cincinnati-insurance-companies,1
pentair,raytheon,1
danaher,exxonmobil,1
lowe%27s-home-improvement,equifax,1
jpmorgan-chase,ventas-inc.,1
celgene,gartner,1
public-storage,american-express,2
darden-restaurants,aon,1
starbucks,udr,1
fmc-corporation,state-street,1
nvidia,corning-incorporated,1
harley-davidson-motor-company,nvidia,1
oxy,raytheon,1
cvs-health,phillips66co,1
mastercard,akamai-technologies,1
carmax,cigna,1
valero-energy-corporation,abbott-,1
dominion,t--rowe-price,1
accenture,noble-energy,1
tjx,ingersoll-rand,1
newscorp,johnson-&-johnson,3
cisco,ibm,793
iron-mountain,eli-lilly-and-company,4
flowserve,ge,18
hewlett-packard-enterprise,johnson-controls,134
mylan,pfizer,47
at&t,adobe,26
general-motors,ibm,221
hewlett-packard-enterprise,xerox,738
fluor,ibm,97
allergan,bd1,13
cvs-health,aig,11
raytheon,boeing,329
sysco,allergan,6
nike,suntrust-bank,7
allstate,accenture,85
prudential-financial,allstate,86
unitedhealth-group,aflac,28
eaton-corporation,ge,136
metlife,w.w.-grainger,3
general-mills,lockheed-martin,8
fiserv,ibm,108
target,unitedhealth-group,670
halliburton,eog-resources,42
verizon,centurylink,99
hewlett-packard-enterprise,eli-lilly-and-company,76
newmont-mining-corporation,charter-communications,1
jpmorgan-chase,keybank,299
google,intuit,60
travelers,people%27s-united-bank,5
ups,merck,28
xerox,progressive-insurance,18
allergan,abbott-,118
morgan-stanley,abbott-,12
united-airlines,jpmorgan-chase,55
target,csx-transportation,5
nielsen,honeywell,5
corning-incorporated,lockheed-martin,25
chipotle-mexican-grill,apple,29
aes,nrg-energy,3
general-motors,cvs-health,11
zimmerbiomet,intuitive-surgical,7
aig,general-motors,10
gilead-sciences,pfizer,30
capital-one,verizon,61
bristol-myers-squibb,boeing,5
best-buy,hca,5
henry-schein,newellbrands,1
qualcomm,hp,21
fluor,baker-hughes,21
ebay,discover-financial-services,15
oracle,aig,24
whirlpool-corporation,ibm,93
apple,walmart,28
fifth-third-bank,american-express,9
gap-inc-,the-walt-disney-company,35
macy,mcdonald%27s-corporation,67
parker-hannifin,royal-caribbean,5
spglobal,blackrock,5
dollar-tree-stores,kohls-department-stores,35
consumers-energy,abbott-,3
cintas,apple,6
fastenal,ibm,17
pca,american-electric-power,2
starbucks,essex-property-trust,5
accenture,northern-trust,50
cognizant,visa,73
dr-horton,alliance-data,1
texas-instruments,skyworks-solutions-inc,21
raytheon,ford-motor-company,12
capital-one,intel-corporation,11
raymond-james-financial-inc-,morgan-stanley,96
netapp,hp,14
kohls-department-stores,nike,46
ebay,oracle,68
spglobal,merck,5
ups,travelers,7
the-walt-disney-company,southwest-airlines,8
colgate-palmolive,the-j-m--smucker-company,7
accenture,southwest-airlines,16
mattel,ecolab,4
alcoa,schlumberger,17
celgene,comcast,1
vulcan-materials-company,martin-marietta-materials,15
progressive-insurance,ford-motor-company,5
amazon,red-hat,13
cbre,facebook,5
regeneron-pharmaceuticals,tiffany-and-co,1
texas-instruments,mattel,2
united-technologies,ansys-inc,2
the-estee-lauder-companies-inc-,ralph-lauren,24
con-edison,aig,12
lowe%27s-home-improvement,lkq-corporation,3
state-street,the-hershey-company,1
fluor,devon-energy,9
american-express,symantec,18
emerson,nike,1
eli-lilly-and-company,general-motors,25
national-oilwell-varco,walmart,8
danaher,harris-corporation,1
morgan-stanley,hess-corporation,9
franklin-templeton-investments,charles-schwab,54
cintas,ge,14
progressive-insurance,the-home-depot,7
ameriprise-financial-services-inc,johnson-&-johnson,7
travelers,robert-half-international,5
zoetis,celgene,4
lockheed-martin,ford-motor-company,56
whirlpool-corporation,lowe%27s-home-improvement,14
medtronic,international-paper,5
fiserv,microsoft,38
carmax,allstate,14
intel-corporation,kellogg-company,9
the-hershey-company,ppl-corporation,1
allstate,willis-towers-watson,27
cigna,ibm,78
newellbrands,hewlett-packard-enterprise,10
sysco,metlife,2
microsoft,duke-energy-corporation,18
amd,xilinx,57
baker-hughes,bristol-myers-squibb,3
bristol-myers-squibb,boston-scientific,61
firstenergy-corp,fifth-third-bank,2
moodys-corporation,bny-mellon,5
stanley-black-decker-inc,medtronic,14
hewlett-packard-enterprise,charter-communications,14
target,zoetis,3
wellsfargo,delta-air-lines,39
medtronic,the-kraft-heinz-company,4
intel-corporation,cardinal-health,8
nektar-therapeutics,the-clorox-company,1
fifth-third-bank,dish-network,4
apple,sherwin-williams,4
emerson,medtronic,17
pfizer,emerson,21
ansys-inc,autodesk,12
ingersoll-rand,insidepmi,3
costco-wholesale,w.w.-grainger,4
pioneer-natural-resources-company,eog-resources,12
conocophillips,starbucks,5
intel-corporation,f5-networks,17
national-oilwell-varco,kinder-morgan,11
ge,harley-davidson-motor-company,15
oracle,stryker,29
ford-motor-company,intuit,3
visa,netapp,9
kinder-morgan,baker-hughes,8
abbvie,avery-dennison,1
mcdonald%27s-corporation,symantec,3
john-deere,pentair,4
ge,willis-towers-watson,17
gap-inc-,newmont-mining-corporation,1
citizens-bank,lowe%27s-home-improvement,8
bd1,flir-systems,1
analog-devices,ford-motor-company,1
ulta,citizens-bank,5
humana,whirlpool-corporation,2
suntrust-bank,aon,2
nucor-corporation,c-h-robinson,2
textron,pentair,3
charter-communications,cvs-health,4
walmart,perrigo,5
chevron,weyerhaeuser,6
uhs,xerox,2
starbucks,the-coca-cola-company,37
the-estee-lauder-companies-inc-,expedia,3
